5.477469 7.103082 5.863831 1.056190
6.658386 5.773738 2.560232 1.266693
2.092316 2.599768 5.030267 1.119828
4.745080 1.437082 2.722371 0.766637
0.288842 2.739207 6.320674 0.818415
9.158851 0.794985 8.870177 0.753751
0.848235 3.725354 5.123300 0.979475
5.633164 4.999796 3.511397 0.944913
6.737355 3.002117 0.656786 0.838511
4.272935 0.531959 9.311776 0.873137
0.006403 4.776579 3.677700 1.126548
3.281203 8.657646 1.535503 1.533710
2.397189 6.000008 9.917517 1.488570
2.609366 6.787040 4.952986 1.228230
4.869741 2.709396 3.674526 1.313621
7.392020 0.262154 1.222406 0.953823
1.231227 1.141434 2.989819 0.800407
3.006670 6.903950 1.149924 0.832830
6.824589 3.759231 4.601639 1.089892
9.888699 5.663103 2.323326 0.764200
0.713799 2.238843 5.367443 0.855028
2.348683 6.089955 6.635907 1.500717
2.309749 1.185304 5.277761 0.754348
6.839577 4.701411 0.739184 1.372704
0.590400 0.231642 3.746299 0.989322
7.905910 1.726502 7.865329 1.453455
8.610693 4.785422 9.762773 1.480049
3.120178 9.528654 7.577060 0.771587
6.631037 5.960033 4.722075 0.752881
9.240177 9.515490 8.842545 0.810044
4.080233 7.911921 4.919103 0.996132
0.722511 0.194238 9.563927 1.043885
5.340723 5.711180 1.670140 0.992960
1.319502 5.933574 1.775688 1.428963
7.957512 6.171206 1.985163 0.823348
2.985909 9.841354 0.071759 0.921132
4.962466 6.542444 3.178650 0.769673
8.651087 5.738266 5.861764 1.129471
7.361862 0.231467 8.093356 0.838842
4.306955 0.537761 2.275821 0.751687
3.406431 8.696822 6.659038 1.010860
0.225277 1.741829 8.855612 1.215322
7.870913 6.867786 3.472685 0.749816
6.763011 8.403830 9.767685 0.793339
1.795535 1.471378 8.749890 0.898033
0.570319 2.078093 1.370044 0.935859
6.587015 7.447528 9.195709 0.781852
2.873205 6.857380 2.870660 1.099502
9.074268 7.633058 1.690395 0.856141
5.583783 3.776961 5.001324 0.842657
9.701791 5.489526 4.946514 0.829539
6.213662 6.776968 7.975135 0.773320
6.621511 6.356097 6.117523 0.938687
5.185822 7.615174 1.791036 0.896107
8.294600 0.382248 3.720026 0.813563
4.959761 5.816181 5.045808 0.811037
7.080949 5.007512 7.107787 1.569043
1.965579 3.532141 3.847901 0.858001
9.103991 3.190794 9.605059 0.863060
1.310991 5.789635 4.161014 1.433109
0.682963 6.796821 3.143556 0.835288
3.327609 0.725099 3.559347 1.448476
8.271675 7.875492 0.303609 0.921423
7.195377 8.078710 6.020743 0.754001
9.536871 8.710864 0.120010 0.943948
7.941085 9.367044 5.278342 1.125361
3.409285 1.594419 1.778834 1.039544
6.329820 0.049085 4.083026 1.328789
9.068560 9.665977 5.892956 0.790118
8.493515 0.237573 6.993642 1.093589
1.595525 9.583811 5.356086 0.893097
9.957429 9.541296 1.710329 0.819097
5.577170 9.510453 2.588626 0.813346
7.860774 8.717709 1.690545 1.212866
8.838449 3.839411 4.802092 1.609212
5.834193 0.367379 6.271523 1.349897
3.276812 5.138848 4.262449 1.542329
5.732358 9.361596 9.898425 0.789882
2.247969 4.180300 9.602822 1.073449
5.169358 2.890335 8.311893 0.791054
5.915058 3.517701 7.387825 0.870683
3.578427 0.159897 1.049348 0.820501
3.147030 1.052673 8.442095 0.948676
3.063797 0.028018 6.231272 0.792752
2.241170 1.810535 7.219712 1.044576
9.080243 0.081162 9.891804 0.785745
9.577490 2.727821 3.256363 1.278655
2.035251 8.461610 4.826546 0.756244
6.906919 5.028037 9.009728 1.151958
1.191562 4.871909 0.285894 0.770057
8.018195 2.259043 2.560971 0.786764
5.256271 8.502698 3.696137 1.432788
5.508772 2.017879 7.318520 0.967723
6.340828 6.668121 0.455371 1.137574
5.794608 1.958567 1.174327 0.966432
4.833697 1.414559 8.117129 0.779258
7.353424 1.269916 2.264854 0.852653
8.780458 8.044130 7.416279 0.815684
6.138304 1.584507 5.094243 1.204685
